Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2.034: [GC (Allocation Failure) 2.034: [DefNew: 960K->64K(960K), 0.0032734 secs] 25748K->25718K(1023936K), 0.0033646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.127: [GC (Allocation Failure) 2.127: [DefNew: 960K->64K(960K), 0.0023141 secs] 26614K->26546K(1023936K), 0.0023878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.207: [GC (Allocation Failure) 2.207: [DefNew: 959K->63K(960K), 0.0025159 secs] 27442K->27399K(1023936K), 0.0025899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.302: [GC (Allocation Failure) 2.302: [DefNew: 959K->64K(960K), 0.0025456 secs] 28295K->28236K(1023936K), 0.0026199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.340: [GC (Allocation Failure) 2.340: [DefNew: 960K->63K(960K), 0.0046632 secs] 29132K->29118K(1023936K), 0.0047522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.436: [GC (Allocation Failure) 2.436: [DefNew: 959K->63K(960K), 0.0034148 secs] 30014K->29963K(1023936K), 0.0035129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.501: [GC (Allocation Failure) 2.501: [DefNew: 959K->64K(960K), 0.0023874 secs] 30859K->30808K(1023936K), 0.0024642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.582: [GC (Allocation Failure) 2.582: [DefNew: 960K->64K(960K), 0.0023553 secs] 31704K->31554K(1023936K), 0.0024360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.665: [GC (Allocation Failure) 2.665: [DefNew: 960K->63K(960K), 0.0023473 secs] 32450K->32316K(1023936K), 0.0024066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.727: [GC (Allocation Failure) 2.727: [DefNew: 959K->64K(960K), 0.0025815 secs] 33212K->33103K(1023936K), 0.0026573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.779: [GC (Allocation Failure) 2.779: [DefNew: 959K->64K(960K), 0.0021602 secs] 33999K->33795K(1023936K), 0.0022359 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.865: [GC (Allocation Failure) 2.865: [DefNew: 960K->63K(960K), 0.0025274 secs] 34691K->34549K(1023936K), 0.0025854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.944: [GC (Allocation Failure) 2.944: [DefNew: 959K->64K(960K), 0.0021337 secs] 35445K->35300K(1023936K), 0.0022007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.027: [GC (Allocation Failure) 3.027: [DefNew: 960K->63K(960K), 0.0035506 secs] 36196K->36167K(1023936K), 0.0036421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.078: [GC (Allocation Failure) 3.078: [DefNew: 959K->64K(960K), 0.0043270 secs] 37062K->37038K(1023936K), 0.0044220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.130: [GC (Allocation Failure) 3.130: [DefNew: 960K->63K(960K), 0.0042952 secs] 37934K->37918K(1023936K), 0.0044111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.194: [GC (Allocation Failure) 3.194: [DefNew: 959K->64K(960K), 0.0040264 secs] 38814K->38792K(1023936K), 0.0041172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
